Evolution de la qualité
Jours              1    2    3    4    5    6    7    8    9   10   11   12   13   14   15

Lambda             0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
Comté              0    1    2    3    4    5    6    7    8    9   10   12   14   16   18
Kryptonite         0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
Pass VIP Concert    0    2    4    6    8   10   13   16   19   22   25    0    0    0    0

Lambda            10    9    8    7    6    5    4    3    2    1    0    0    0    0    0
Comté             10   11   12   13   14   15   16   17   18   19   20   22   24   26   28
Kryptonite        10   10   10   10   10   10   10   10   10   10   10   10   10   10   10
Pass VIP Concert   10   12   14   16   18   20   23   26   29   32   35    0    0    0    0

Lambda            20   19   18   17   16   15   14   13   12   11   10    8    6    4    2
Comté             20   21   22   23   24   25   26   27   28   29   30   32   34   36   38
Kryptonite        20   20   20   20   20   20   20   20   20   20   20   20   20   20   20
Pass VIP Concert   20   22   24   26   28   30   33   36   39   42   45    0    0    0    0

Lambda            40   39   38   37   36   35   34   33   32   31   30   28   26   24   22
Comté             40   41   42   43   44   45   46   47   48   49   50   50   50   50   50
Kryptonite        40   40   40   40   40   40   40   40   40   40   40   40   40   40   40
Pass VIP Concert   40   42   44   46   48   50   50   50   50   50   50    0    0    0    0


 Evolution du SellIn
Jours              1    2    3    4    5    6    7    8    9   10   11   12   13   14   15

Lambda            10    9    8    7    6    5    4    3    2    1    0   -1   -2   -3   -4
Comté             10    9    8    7    6    5    4    3    2    1    0   -1   -2   -3   -4
Kryptonite        10   10   10   10   10   10   10   10   10   10   10   10   10   10   10
Pass VIP Concert   10    9    8    7    6    5    4    3    2    1    0   -1   -2   -3   -4

Lambda            10    9    8    7    6    5    4    3    2    1    0   -1   -2   -3   -4
Comté             10    9    8    7    6    5    4    3    2    1    0   -1   -2   -3   -4
Kryptonite        10   10   10   10   10   10   10   10   10   10   10   10   10   10   10
Pass VIP Concert   10    9    8    7    6    5    4    3    2    1    0   -1   -2   -3   -4

Lambda            10    9    8    7    6    5    4    3    2    1    0   -1   -2   -3   -4
Comté             10    9    8    7    6    5    4    3    2    1    0   -1   -2   -3   -4
Kryptonite        10   10   10   10   10   10   10   10   10   10   10   10   10   10   10
Pass VIP Concert   10    9    8    7    6    5    4    3    2    1    0   -1   -2   -3   -4

Lambda            10    9    8    7    6    5    4    3    2    1    0   -1   -2   -3   -4
Comté             10    9    8    7    6    5    4    3    2    1    0   -1   -2   -3   -4
Kryptonite        10   10   10   10   10   10   10   10   10   10   10   10   10   10   10
Pass VIP Concert   10    9    8    7    6    5    4    3    2    1    0   -1   -2   -3   -4
